qid,subject,n_gen,head_mean,tail_mean,tail_frac_below_0.05
5,security_studies,16384,0.8283693359375001,0.00021962890625,1.0
15,professional_law,16384,0.55564638671875,0.0001361328125,1.0
33,high_school_macroeconomics,16384,0.78622978515625,0.00015273437499999998,1.0
34,moral_disputes,16384,0.6116530273437499,9.27734375e-05,1.0
52,high_school_chemistry,16384,0.6881905273437501,0.0010666992187499998,0.998046875
53,nutrition,16384,0.65128701171875,0.0017436523437500003,0.9853515625
56,high_school_chemistry,16384,0.779071484375,0.0009902343749999998,0.9970703125
62,high_school_macroeconomics,16384,0.5327558593749999,0.00038535156250000006,0.998046875
72,professional_medicine,16384,0.9709850585937501,0.0003798828125,1.0
85,college_medicine,16384,0.64654384765625,0.00087314453125,1.0
87,professional_law,16384,0.75571669921875,0.0012645507812500002,1.0
88,nutrition,16384,0.7127525390625,0.00014375,1.0
89,moral_scenarios,16384,0.579338671875,6.884765625000001e-05,1.0
96,professional_law,16384,0.91309716796875,0.000521875,1.0
100,professional_law,16384,0.77790126953125,0.00014765625,1.0
107,sociology,16384,0.7509816406250001,0.00020195312499999998,1.0
123,professional_psychology,16384,0.64400166015625,0.000285546875,0.9990234375
128,professional_law,16384,0.8274856445312501,9.824218750000001e-05,1.0
153,professional_law,16384,0.66475830078125,0.0005541015625,1.0
155,professional_accounting,16384,0.73102451171875,0.00042451171875,1.0
156,international_law,16384,0.71765712890625,0.00049697265625,0.9990234375
160,electrical_engineering,16384,0.6065283203125,0.000323046875,1.0
161,professional_law,16384,0.8481058593749999,0.00371064453125,0.9755859375
167,philosophy,16384,0.68698388671875,0.00040546875,1.0
180,professional_law,16384,0.78217470703125,0.00032421874999999996,1.0
196,formal_logic,16384,0.49416708984375,4.7167968749999996e-05,1.0
