analysis,subset,statistic,n,n_questions,estimate,ci_lower,ci_upper,n_boot,seed,notes
length_descriptive,incorrect_minus_correct,median_length_difference_tokens,3550,472,304.5,193.0,398.0,5000,42,
primary_correlation,all_evaluable,pearson_raw_length_vs_mean_entropy,3550,472,-0.12942452994528525,-0.17866169637864093,-0.07921238197565868,5000,42,
primary_correlation,all_evaluable,pearson_log_length_vs_mean_entropy,3550,472,-0.16633642723506628,-0.22835177892004765,-0.10574964719238748,5000,42,
primary_correlation,all_evaluable,spearman_length_vs_mean_entropy,3550,472,-0.17401704610949803,-0.24251547157663408,-0.10762210041429486,5000,42,
secondary_correlation,all_evaluable,pearson_within_subject_log_length_vs_mean_entropy,3550,472,0.187114062769084,0.12505026189309404,0.24981213560921206,5000,42,both variables centred within subject
secondary_correlation,all_evaluable,pearson_log_length_vs_tail_entropy,3550,472,-0.2381726968655976,-0.2890786647676301,-0.18683167220079266,5000,42,
correlation_by_outcome,correct,pearson_log_length_vs_mean_entropy,3172,444,-0.21343089328056983,-0.2770952755879355,-0.14954385304624324,5000,42,
correlation_by_outcome,incorrect,pearson_log_length_vs_mean_entropy,378,112,-0.36013127044569415,-0.49802738802812,-0.2125273951491778,5000,42,
correlation_by_subject,Mathematics,pearson_log_length_vs_mean_entropy,598,91,0.2517666637397269,0.07401522593654065,0.410828271245353,5000,42,n_incorrect=10
correlation_by_subject,Physics,pearson_log_length_vs_mean_entropy,647,93,0.2089143795236753,0.07313116633024057,0.338957957908103,5000,42,n_incorrect=98
correlation_by_subject,Chemistry,pearson_log_length_vs_mean_entropy,578,91,0.11637595001567165,-0.028325176207157035,0.2607706251738955,5000,42,n_incorrect=75
correlation_by_subject,Biology,pearson_log_length_vs_mean_entropy,847,99,0.16272995584584313,0.02832225243705013,0.2986420667368108,5000,42,n_incorrect=100
correlation_by_subject,Psychology,pearson_log_length_vs_mean_entropy,880,98,0.24578095655534685,0.0813346161838421,0.4004891761446327,5000,42,n_incorrect=95
adjusted_ols,all_evaluable,coef:intercept,3550,472,0.25196761906960213,0.15080375849907468,0.3507838564858552,5000,42,mean_entropy ~ log_length + natural_correct + C(subject); subject reference = Mathematics
adjusted_ols,all_evaluable,coef:log_length,3550,472,0.026037785450749484,0.013381875411797329,0.03928323800765569,5000,42,mean_entropy ~ log_length + natural_correct + C(subject); subject reference = Mathematics
adjusted_ols,all_evaluable,coef:natural_correct,3550,472,-0.08096140047238026,-0.1103066199765195,-0.0505208594588417,5000,42,mean_entropy ~ log_length + natural_correct + C(subject); subject reference = Mathematics
adjusted_ols,all_evaluable,coef:subject[Physics],3550,472,0.17441862354564933,0.14306997445369313,0.20545293938448636,5000,42,mean_entropy ~ log_length + natural_correct + C(subject); subject reference = Mathematics
