kbin,final_correct,mean,count
"[0, 400)",False,1.11222978574889,28
"[0, 400)",True,1.0578684958594813,54
"[400, 800)",False,0.9864057620987295,15
"[400, 800)",True,0.7696189200942167,32
"[800, 1200)",False,0.7369762191415893,7
"[800, 1200)",True,0.6957753095775837,19
"[1200, 1600)",False,0.6220412820577618,5
"[1200, 1600)",True,0.48682207351221707,17
"[1600, 2000)",False,0.9064490397771197,3
"[1600, 2000)",True,0.4409681748260146,11
"[2000, 2400)",False,0.765059813857078,2
"[2000, 2400)",True,0.08167416183277922,5
"[2400, 2800)",False,0.33199703382949003,3
"[2400, 2800)",True,0.08816759164134635,3
"[2800, 3200)",False,0.423364281654357,1
"[2800, 3200)",True,0.033192517235874505,2
"[3200, 3600)",False,0.058126546442508004,1
