qid,subject,gold,n_think,think_closed,conf_natural,H_think_mean,H_think_tail,H_ans_prior,H_ans_mid,H_ans_end,conf_end,final_letter,final_correct
114,college_computer_science,B,404,True,100.0,0.5987720507269462,0.6174658536585367,0.21925777196884103,0.5858796238899231,0.002033439464867,100.0,C,False
106,machine_learning,D,432,True,100.0,0.6833750879592557,0.5646045454545455,0.990477740764617,1.216954827308654,0.007856516167521001,100.0,A,False
191,high_school_macroeconomics,A,718,True,95.0,0.7187122088301199,0.7395652777777778,1.064812183380127,1.106411218643188,0.00375647842884,95.0,C,False
60,moral_scenarios,D,267,True,95.0,0.7995511794575046,0.560837037037037,0.826162934303283,0.9841956496238701,0.010833600535988001,95.0,C,False
29,high_school_chemistry,C,1898,True,100.0,0.644022354694582,0.6540226315789474,0.973529279232025,0.066550806164741,0.016876904293894,95.0,B,False
113,moral_scenarios,D,343,True,95.0,0.7933765028687605,0.8965114285714285,0.806357264518737,0.9169921875,0.017271548509597,95.0,C,False
45,professional_psychology,B,377,True,95.0,0.7471785582900784,0.8904631578947367,0.21247658133506703,0.25742995738983104,0.021289605647325002,95.0,A,False
42,virology,A,295,True,95.0,0.6181156432202497,0.6480633333333332,0.10990938544273302,0.32111909985542303,0.021902281790971003,95.0,D,False
0,college_physics,A,828,True,95.0,0.5091866437967023,0.4490072289156627,1.112850189208984,0.145534843206405,0.132740423083305,95.0,C,False
187,human_aging,B,328,True,85.0,0.5911668338855675,0.6352636363636364,0.856702983379364,0.6831201910972591,0.0032692756503820003,85.0,A,False
