qid,n_think,final_letter,final_correct,commit_frac,n_flips
0,1181,B,True,0.0,0
1,2847,C,True,0.0,0
2,2034,D,True,0.5,5
3,432,D,False,0.9,6
4,1511,B,True,0.0,0
5,2199,A,True,0.30000000000000004,3
6,1518,B,False,0.7000000000000001,2
7,937,C,False,0.4,3
8,1805,B,True,0.0,0
9,1595,C,True,0.2,2
10,2759,A,False,0.0,0
11,604,C,True,0.2,2
12,3027,A,True,0.5,3
13,2015,C,True,0.7000000000000001,1
15,3236,C,False,0.6000000000000001,4
16,534,C,True,0.6000000000000001,3
17,478,C,True,0.4,3
18,601,D,True,0.7000000000000001,6
19,689,C,False,0.1,1
