qid,subject,gold,n_think,think_closed,conf_natural,H_think_mean,H_think_tail,H_ans_prior,H_ans_mid,H_ans_end,conf_end,final_letter,final_correct
0,college_physics,A,828,True,95.0,0.5091866437967023,0.4490072289156627,1.112850189208984,0.145534843206405,0.132740423083305,95.0,C,0.0
1,anatomy,B,505,True,95.0,0.7388170498416197,0.43494705882352946,1.330954313278198,1.318685054779052,0.014595328830182,85.0,A,0.0
2,high_school_statistics,C,518,True,100.0,0.5204007172369086,0.8312730769230771,0.17419846355915,0.328764468431472,0.003329426748678,95.0,C,1.0
4,prehistory,A,381,True,85.0,0.5935766426504574,0.6773410256410255,1.153775930404663,1.309854865074157,0.536498427391052,90.0,A,1.0
5,security_studies,C,16384,False,,0.09066060757415544,0.00020811470408785846,1.010010004043579,0.33994507789611805,0.818172574043273,85.0,A,0.0
6,conceptual_physics,B,370,True,95.0,0.5728912650984166,0.5640837837837838,0.03808057680726,0.440367966890335,0.05270752683281801,85.0,B,1.0
7,marketing,C,303,True,95.0,0.6660514744429972,0.8239258064516131,0.05166869610548001,0.46916598081588706,0.008512719534337,95.0,C,1.0
8,professional_law,C,766,True,85.0,0.8818444129445289,0.740712987012987,0.8201722502708431,0.9202740192413331,0.006733894348144,85.0,B,0.0
9,jurisprudence,B,920,True,85.0,0.8253166790493947,0.8347402173913044,0.43447351455688404,1.007480859756469,0.09240768849849701,85.0,C,0.0
10,moral_scenarios,A,433,True,85.0,0.74406237136595,0.717334090909091,0.74799358844757,1.02522587776184,0.013972668908536,85.0,C,0.0
12,jurisprudence,D,716,True,85.0,0.7224673663324473,0.5387819444444444,0.551914691925048,0.824173212051391,0.026127390563488003,85.0,A,0.0
13,management,B,491,True,85.0,0.8736515091958418,0.7684459999999999,1.013234376907348,1.2217267751693721,0.011164133436977001,85.0,A,0.0
15,professional_law,A,16384,False,,0.03641639798650428,0.00013557046979865772,0.5112922787666321,1.163691043853759,1.2376008033752441,85.0,D,0.0
16,college_physics,C,2919,True,95.0,0.6205693310465453,0.6566993150684932,1.213241100311279,1.296952128410339,0.053025141358375,95.0,C,1.0
17,professional_psychology,C,336,True,95.0,0.6309612901869854,0.5305264705882353,0.199807301163673,0.356488317251205,0.004869207274168,95.0,C,1.0
18,professional_law,C,825,True,85.0,0.8993732323786112,0.6746891566265061,0.7700811624526971,1.3138195276260372,0.061520934104919,85.0,A,0.0
19,marketing,C,359,True,85.0,0.6837638011213237,0.995113888888889,0.27646464109420704,1.1154923439025881,0.006812538951635001,85.0,C,1.0
20,high_school_psychology,C,367,True,85.0,0.645729995193148,0.5666081081081081,0.6439688205718991,1.02174162864685,0.050606217235326004,85.0,D,0.0
22,professional_law,A,867,True,85.0,0.6586050943794977,0.7367494252873563,0.8702481985092161,1.362149953842163,0.556912183761596,85.0,D,0.0
23,prehistory,D,792,True,85.0,0.8098712071842427,0.7192187499999999,1.179559230804443,1.228269338607788,0.221750259399414,85.0,D,1.0
25,us_foreign_policy,A,327,True,95.0,0.7237725765781986,0.5907818181818182,0.021965686231851002,0.024282865226268,0.00047900783829300006,95.0,A,1.0
26,business_ethics,B,407,True,85.0,0.7068325866759282,0.964509756097561,0.922850608825683,0.8073038458824151,0.157416552305221,85.0,A,0.0
29,high_school_chemistry,C,1898,True,100.0,0.644022354694582,0.6540226315789474,0.973529279232025,0.066550806164741,0.016876904293894,95.0,B,0.0
31,college_physics,C,863,True,100.0,0.5887431494952552,0.5517402298850576,0.759238183498382,1.083200335502624,0.036805972456932005,100.0,C,1.0
33,high_school_macroeconomics,C,16384,False,,0.06156216809311301,0.00015326418547895057,0.284380912780761,0.274808049201965,0.104967892169952,90.0,A,0.0
34,moral_disputes,D,16384,False,,0.06558455156476839,9.18242830994509e-05,0.004953947849571001,0.049310561269521005,0.07154854387044901,90.0,D,1.0
35,high_school_computer_science,D,295,True,100.0,0.47218422595613685,0.7309133333333334,0.5578813552856441,0.015349321067333001,0.08429841697216,100.0,D,1.0
36,professional_medicine,D,2846,True,95.0,0.6278491393009468,0.48283719298245614,0.47085452079772905,0.370863109827041,0.10264840722084001,85.0,B,0.0
37,elementary_mathematics,B,211,True,100.0,0.28400236301724086,0.46940000000000004,1.22237491607666,1.076832771301269,0.005750627722591,100.0,B,1.0
38,high_school_chemistry,C,818,True,95.0,0.933383798727292,1.0266853658536585,0.896053075790405,0.9266216754913331,0.012093733064830001,85.0,B,0.0
39,high_school_mathematics,A,1754,True,,0.39533247517137043,0.44321534090909087,1.318384528160095,1.31767725944519,0.09841851890087101,95.0,A,1.0
40,moral_scenarios,B,392,True,95.0,0.749510976903106,0.909785,0.6937622427940361,1.027263164520263,0.005540566518902001,95.0,B,1.0
41,moral_disputes,A,1125,True,80.0,0.7664287030970341,0.6403743362831859,0.9120718240737911,0.922323346138,0.148862466216087,80.0,A,1.0
42,virology,A,295,True,95.0,0.6181156432202497,0.6480633333333332,0.10990938544273302,0.32111909985542303,0.021902281790971003,95.0,D,0.0
43,professional_medicine,B,980,True,85.0,0.8531425815766753,0.9551173469387755,1.18037462234497,1.170795917510986,0.057187389582395005,85.0,B,1.0
44,college_biology,A,322,True,95.0,0.6240242042637237,0.8242878787878788,0.1879153996706,0.14810475707054102,0.002545012393966,95.0,A,1.0
45,professional_psychology,B,377,True,95.0,0.7471785582900784,0.8904631578947367,0.21247658133506703,0.25742995738983104,0.021289605647325002,95.0,A,0.0
46,sociology,A,474,True,85.0,0.8245671446261255,0.9376333333333333,1.327253341674804,1.149510145187378,0.184333682060241,85.0,A,1.0
47,virology,A,674,True,85.0,0.8073612896965086,0.7344323529411764,1.09086799621582,0.8884038329124451,0.022998098284006,85.0,C,0.0
48,high_school_macroeconomics,C,402,True,85.0,0.6909147170753249,0.8172926829268294,0.060034397989511004,0.506152391433715,0.01442027464509,85.0,C,1.0
49,high_school_government_and_politics,A,390,True,95.0,0.6947786988812965,0.6542230769230769,0.015908356755971,0.013635211624205001,0.0011267678346480001,95.0,A,1.0
51,human_aging,C,342,True,85.0,0.7559453257034646,0.6267342857142858,0.325739949941635,0.37670779228210405,0.001286180573515,85.0,C,1.0
52,high_school_chemistry,C,16384,False,,0.08286733845466673,0.0010319097010372178,0.7728450298309321,1.107888221740722,1.035788059234619,85.0,C,1.0
53,nutrition,A,16384,False,,0.09696001182018628,0.0017996949359365467,1.2627588510513301,0.6730468273162841,0.9475998282432551,80.0,A,1.0
54,college_medicine,D,354,True,95.0,0.47220624649486964,0.5989777777777777,0.30791985988616905,0.692018985748291,0.016197485849261003,95.0,D,1.0
55,philosophy,B,567,True,95.0,0.897862068597606,0.7426771929824562,0.11357668042182902,0.035640507936477,0.004669669084250001,95.0,B,1.0
56,high_school_chemistry,A,16384,False,,0.17344436184412362,0.0011212934716290422,0.9831733107566831,0.42444729804992604,0.43837314844131403,80.0,C,0.0
57,moral_scenarios,D,362,True,85.0,0.8190770933317659,0.8671054054054055,0.826162934303283,1.078667402267456,0.032811161130666004,85.0,C,0.0
60,moral_scenarios,D,267,True,95.0,0.7995511794575046,0.560837037037037,0.826162934303283,0.9841956496238701,0.010833600535988001,95.0,C,0.0
61,world_religions,D,260,True,95.0,0.6664150313317219,0.8238384615384616,0.9958953857421871,0.5595403909683221,0.010495342314243001,95.0,D,1.0
62,high_school_macroeconomics,B,16384,False,,0.04463208104497109,0.00038139109212934714,0.9249988794326781,0.38441786170005804,0.396218866109848,95.0,B,1.0
63,conceptual_physics,B,279,True,95.0,0.5227957636949775,0.577225,0.10011054575443201,0.032862994819879005,0.000781880342401,95.0,B,1.0
64,electrical_engineering,C,610,True,85.0,0.678075229325534,0.548872131147541,0.747794151306152,0.8593336343765251,0.02654081583023,85.0,A,0.0
65,medical_genetics,A,538,True,85.0,0.6394318755847338,0.6278703703703704,1.260600566864013,0.8521125316619871,0.11532118171453401,85.0,A,1.0
66,moral_scenarios,C,488,True,95.0,0.7392375893744496,0.38375102040816333,0.7538318634033201,1.024778366088867,0.010820026509463001,95.0,C,1.0
68,marketing,D,447,True,85.0,0.7838868466549848,0.7090133333333333,0.299154967069625,0.8205758929252621,0.030945889651775003,85.0,D,1.0
69,high_school_physics,A,1574,True,95.0,0.4356745944518415,0.4354955696202531,1.100339293479919,0.21230025589466,0.20492032170295701,95.0,A,1.0
70,high_school_psychology,D,418,True,95.0,0.6030636104896485,0.6000571428571428,0.7211750745773311,0.49591642618179305,0.0020880049560210003,95.0,D,1.0
71,world_religions,A,407,True,95.0,0.792989727867152,0.6946243902439024,0.7549393773078911,0.697598218917846,0.009799664840102001,85.0,C,0.0
72,professional_medicine,A,16384,False,,0.07857708787600377,0.00040762660158633323,1.137898087501525,0.09380906820297201,0.153915837407112,85.0,B,0.0
73,high_school_geography,D,656,True,85.0,0.5877822724508607,0.5571151515151515,0.291835457086563,0.056321691721677,0.054672855883836004,85.0,D,1.0
74,moral_disputes,A,570,True,95.0,0.7767502967455506,0.5599859649122807,0.50812554359436,0.16073293983936301,0.036379516124725,95.0,A,1.0
75,elementary_mathematics,C,444,True,100.0,0.33938995351712653,0.3083044444444445,0.7280108928680421,0.06459441781044001,0.007715621963143001,100.0,C,1.0
76,miscellaneous,A,437,True,95.0,0.5682724740763718,0.5693340909090908,0.11284087598323801,0.057448722422122005,0.019867923110723003,95.0,A,1.0
77,prehistory,C,356,True,95.0,0.6503663039912496,0.7466472222222222,0.13867759704589802,0.18827137351036002,0.020339315757155002,95.0,C,1.0
78,elementary_mathematics,A,1709,True,95.0,0.5421362862841319,0.506446783625731,1.142031192779541,0.10768823325634001,0.21220833063125602,95.0,A,1.0
79,college_physics,C,6596,True,85.0,0.6977801176670081,0.7585448484848485,1.144166946411132,0.609460830688476,0.14831930398941,85.0,C,1.0
80,astronomy,C,445,True,95.0,0.4491550577288998,0.47329111111111105,1.079554200172424,0.7492373585700981,0.031822577118873,95.0,C,1.0
82,miscellaneous,B,310,True,85.0,0.7264486762881113,0.8333483870967741,0.185228377580642,0.09427522122859901,0.000884346605744,85.0,B,1.0
83,professional_medicine,D,1256,True,85.0,0.8470242765293137,0.765457142857143,0.588827013969421,0.720655798912048,0.040450863540172,85.0,B,0.0
84,professional_psychology,B,555,True,85.0,0.8192481724409802,0.6949714285714287,0.9609066843986511,0.27597916126251204,0.012919969856739,85.0,B,1.0
85,college_medicine,A,16384,False,,0.08501221050040379,0.0008198291641244661,1.027133584022522,1.309271574020385,1.271962642669677,95.0,C,0.0
86,human_aging,B,518,True,85.0,0.8817529901095058,0.9617,0.9223994016647331,1.147145628929138,0.018491411581635,85.0,C,0.0
87,professional_law,C,16384,False,,0.04885765204967928,0.0011400244051250764,1.278912782669067,1.120184421539306,1.1185142993927,85.0,A,0.0
88,nutrition,C,16384,False,,0.054808151263436994,0.00015381330079316656,1.023535251617431,0.893137574195861,1.127977132797241,90.0,B,0.0
89,moral_scenarios,C,16384,False,,0.039549208321243555,6.821232458816352e-05,0.797202050685882,0.327972114086151,0.403691828250885,95.0,B,0.0
91,nutrition,B,338,True,95.0,0.5534084677234915,0.4760235294117647,0.25981578230857805,0.009071659296751002,0.0038423261139540004,95.0,B,1.0
92,sociology,D,1597,True,85.0,0.6550988094630633,0.365436875,1.167240381240844,1.334584474563598,0.9443114995956421,85.0,D,1.0
93,high_school_statistics,D,1158,True,85.0,0.7618034283823545,0.6236379310344828,0.152830645442008,0.331048518419265,0.40018698573112405,85.0,D,1.0
94,marketing,A,601,True,85.0,0.7982911850847478,0.8279803278688525,0.7710349559783931,1.190414905548095,0.019333256408572003,85.0,C,0.0
95,security_studies,A,339,True,95.0,0.6791204538989173,1.0935882352941175,0.026556815952062003,0.272381544113159,0.008183654397726,95.0,A,1.0
96,professional_law,A,16384,False,,0.0603571693264339,0.0004935326418547895,0.6469295024871821,1.037836551666259,1.147145628929138,85.0,C,0.0
97,professional_law,A,1131,True,85.0,0.8320750938640347,0.723009649122807,0.947004318237304,0.9118713140487671,0.135906338691711,85.0,A,1.0
98,miscellaneous,A,411,True,95.0,0.7500490994824932,0.6070928571428572,0.24869896471500302,0.44894811511039706,0.019698703661561002,95.0,A,1.0
99,high_school_psychology,B,354,True,95.0,0.6923997086763644,0.7548638888888889,0.08945049345493301,0.28792455792427,0.0034511762205510004,95.0,B,1.0
100,professional_law,B,16384,False,,0.05768246180883201,0.0001465527760829774,0.5909601449966431,0.7353990077972411,0.749715924263,85.0,D,0.0
101,moral_disputes,C,346,True,95.0,0.526062402601182,0.5126342857142858,0.34810864925384505,0.307507097721099,0.06126804649829801,95.0,C,1.0
102,miscellaneous,B,221,True,95.0,0.45242248492839277,0.8272130434782609,0.12404908239841402,0.038426332175731,0.0012617540778590002,95.0,B,1.0
103,philosophy,C,517,True,85.0,0.8647984175148216,0.8625403846153845,0.08867830038070601,0.19908100366592402,0.010491857305169001,85.0,C,1.0
104,high_school_statistics,D,604,True,100.0,0.6162915627645542,0.8208672131147543,1.275606274604797,0.019646195694804,0.007711078040301001,100.0,D,1.0
105,high_school_macroeconomics,B,524,True,85.0,0.7523395017156803,0.6394132075471698,0.5135335922241211,0.5160478949546811,0.068947069346904,85.0,A,0.0
106,machine_learning,D,432,True,100.0,0.6833750879592557,0.5646045454545455,0.990477740764617,1.216954827308654,0.007856516167521001,100.0,A,0.0
107,sociology,D,16384,False,,0.06176515651020326,0.00018492983526540571,0.014129947870969,0.6575430035591121,0.5037126541137691,95.0,C,0.0
108,moral_scenarios,A,287,True,95.0,0.7990787761432456,0.7501379310344827,0.8400460481643671,1.065843939781189,0.087288096547126,95.0,A,1.0
109,philosophy,A,898,True,85.0,0.9363367601214428,0.7566211111111113,0.52364307641983,0.727638661861419,0.166549399495124,85.0,D,0.0
111,college_medicine,B,913,True,85.0,0.8085772941833625,0.5155065217391305,1.041327834129333,1.065424561500549,0.023259252309799004,85.0,C,0.0
113,moral_scenarios,D,343,True,95.0,0.7933765028687605,0.8965114285714285,0.806357264518737,0.9169921875,0.017271548509597,95.0,C,0.0
114,college_computer_science,B,404,True,100.0,0.5987720507269462,0.6174658536585367,0.21925777196884103,0.5858796238899231,0.002033439464867,100.0,C,0.0
115,conceptual_physics,A,522,True,85.0,0.5723815808824548,0.5648754716981133,1.115309715270996,0.26406633853912304,0.105136774480342,85.0,A,1.0
117,prehistory,C,493,True,85.0,0.7954825545184848,0.9492079999999998,0.18027126789093,0.358332633972167,0.006405566819012,85.0,C,1.0
118,public_relations,B,305,True,85.0,0.6639335145643156,0.6444709677419354,0.831050813198089,0.507847428321838,0.0031395503319790003,85.0,B,1.0
119,professional_law,D,728,True,85.0,0.9335636623450012,0.8273054794520548,0.281299650669097,0.501711249351501,0.056401237845420005,85.0,D,1.0
120,world_religions,B,367,True,95.0,0.7095604154385411,0.7216324324324322,0.5150265693664551,0.058997347950935,0.0026523910928510004,95.0,B,1.0
121,high_school_macroeconomics,B,378,True,95.0,0.528554574897803,0.7394684210526316,0.004350668750703,0.01029927842319,0.0006769703468300001,95.0,B,1.0
122,global_facts,B,415,True,85.0,0.7394136249020621,0.3288309523809524,1.031104564666748,0.9678413867950441,0.019343659281730003,85.0,C,0.0
123,professional_psychology,B,16384,False,,0.05818080597737688,0.00029011592434411223,0.039305448532104006,0.272209584712982,0.5485684871673581,95.0,D,0.0
124,moral_scenarios,D,1425,True,85.0,0.509941618263091,0.43655524475524476,0.82379400730133,1.039538145065307,0.219068974256515,85.0,D,1.0
125,human_sexuality,D,1310,True,85.0,0.7145700608146197,0.6561763358778626,0.0055245463736350005,0.37390586733818004,0.018057432025671002,85.0,D,1.0
126,elementary_mathematics,C,688,True,95.0,0.24747343847808043,0.15813768115942023,1.058742642402649,0.9694546461105341,0.012747014872729001,95.0,C,1.0
127,moral_scenarios,C,343,True,85.0,0.8111226830340154,0.7070714285714286,0.76721453666687,0.853120803833007,0.018257694318890003,85.0,C,1.0
128,professional_law,B,16384,False,,0.05318491930855351,9.707138499084807e-05,0.063650920987129,0.31266388297080905,0.265082776546478,95.0,D,0.0
129,philosophy,C,937,True,85.0,0.7521813845874267,0.5999787234042554,0.9375926852226251,0.9822475910186761,0.06060931831598201,85.0,B,0.0
130,high_school_physics,A,1278,True,95.0,0.6999337146910499,0.8334578125,0.127883702516555,0.606541752815246,0.041222572326660004,95.0,A,1.0
131,high_school_psychology,D,362,True,95.0,0.7810098135250031,0.9119405405405406,0.044083468616008,0.550164103507995,0.007929934188723,95.0,D,1.0
132,high_school_macroeconomics,C,620,True,95.0,0.5272021072776623,0.4168645161290322,0.834893226623535,1.190894126892089,0.108993411064147,85.0,A,0.0
133,marketing,A,1291,True,85.0,0.7118152774121563,0.6013153846153846,0.178287118673324,0.50269591808319,0.29885983467102,85.0,A,1.0
134,business_ethics,B,331,True,95.0,0.7281102223092197,0.6635,0.11092724651098201,0.28952181339263905,0.026650886982679003,95.0,B,1.0
136,high_school_biology,A,516,True,95.0,0.7180765862779604,0.6344442307692307,0.045235261321067005,0.662424564361572,0.006889581680297001,85.0,A,1.0
137,elementary_mathematics,A,426,True,100.0,0.24612996731384607,0.22689302325581398,1.208192110061645,1.278912782669067,0.024475693702697,100.0,A,1.0
139,college_physics,B,1888,True,95.0,0.6996104607714071,0.8077058201058203,1.26759934425354,0.401781797409057,0.055758133530616004,95.0,B,1.0
141,logical_fallacies,B,477,True,85.0,0.6312615352618164,0.7952708333333334,0.07117296755313801,0.15537494421005202,0.005325395613908,85.0,B,1.0
142,medical_genetics,B,479,True,85.0,0.7039835222283646,0.4609458333333334,0.9596166610717771,0.784075736999511,0.004327251110225,85.0,B,1.0
143,high_school_microeconomics,D,366,True,95.0,0.45470172307942813,0.5125027027027027,1.091588258743286,0.39054369926452603,0.111135214567184,95.0,D,1.0
144,professional_medicine,D,546,True,85.0,0.9834660632742819,1.0648218181818179,0.402540147304534,0.34453839063644404,0.007024973165243,85.0,D,1.0
145,college_chemistry,B,706,True,95.0,0.5817533905417824,0.7047112676056337,0.27979794144630404,0.015675324946641003,0.009582685306668,95.0,B,1.0
146,us_foreign_policy,D,377,True,95.0,0.8802883875025481,1.0118289473684208,0.0043557621538630005,0.012377999722957,0.0017272032564500002,95.0,D,1.0
147,jurisprudence,D,565,True,85.0,0.8279390577656608,0.5862631578947368,0.652371168136596,0.973753690719604,0.025480832904577002,85.0,D,1.0
148,professional_psychology,D,1160,True,85.0,0.6956760505386649,0.6644327586206897,0.7340847849845881,0.559150457382202,0.010992107912898001,85.0,C,0.0
149,college_medicine,D,3015,True,85.0,0.6345859525308,0.6012814569536423,1.190942525863647,1.130401253700256,0.335493355989456,85.0,D,1.0
150,professional_medicine,D,727,True,85.0,0.9965625209079674,0.7659958904109588,0.975008368492126,0.38530713319778404,0.113397344946861,85.0,B,0.0
151,us_foreign_policy,D,363,True,95.0,0.6101995791649762,0.4501,0.038233470171689,0.039112310856580006,0.001154181081801,95.0,D,1.0
152,moral_disputes,D,350,True,90.0,0.6984398207987528,0.5294771428571428,0.042105335742235,0.331066638231277,0.014707414433360001,90.0,D,1.0
